,Unnamed: 0,tax_year,object_id,doner_name,doner_ein,recepient_name,recepient_address,recepient_zip,recepient_street_abreviation_code,irc_section_description,recepient_ein,recepient_cash_grant_amount,purpose_of_grant_txt
0,0,2013,201403189349306280,Sheriffs Memorial & Benevolent Society,10722641,Travis Co Sheirffs Citizen,PO Box 103777,78766.0,TX,,311592406.0,9291.0,
1,1,2016,201733189349312803,Sheriffs Memorial & Benevolent Society,10722641,Partnership for Children,14000 Summit Dr,78728.0,TX,,432004770.0,28000.0,Contribution
2,2,2016,201733189349312803,Sheriffs Memorial & Benevolent Society,10722641,Star of Texas Rodeo,9100 Decker Lake Road,78724.0,TX,,742266672.0,20000.0,Scholarships
3,3,2016,201741999349300734,Salem Police Benevolent Association Inc,20456648,American Cancer Society,,,,,,7800.0,Assist organization in charitable goals
4,4,2016,201741999349300734,Salem Police Benevolent Association Inc,20456648,,,,,,,,Assist organizations in charitable goals
5,5,2013,201402499349300500,MOUNT VERNON POLICE FOUNDATION INC,20741539,MOUNT VERNON POLICE DEPARTMENT,2 ROOSEVELT SQUARE NORTH,10550.0,NY,,20741539.0,0.0,TO SUPPPORT MV POLICE DEPARTMENT IN EFFORTS TO ENHANCE COMMUNITY RELATIONS
6,6,2014,201512179349301111,MOUNT VERNON POLICE FOUNDATION INC,20741539,MOUNT VERNON POLICE DEPARTMENT,2 ROOSEVELT SQUARE NORTH,10550.0,NY,,20741539.0,0.0,TO SUPPPORT MV POLICE DEPARTMENT IN EFFORTS TO ENHANCE COMMUNITY RELATIONS
7,7,2017,201813179349305191,NEW YORK POLICE CHIEFS' FOUNDATION INC,30439386,NEW YORK STATE CRIME STOPPERS INC,2649 STRANG BLVD STE 303,10598.0,NY,501(C)(3),611420590.0,148000.0,TO OFFER FINANCIAL ASSISTANCE TO THIS SUPPORTED ORGANIZATION TO FURTHER ITS EXEMPT PURPOSE OF ASSISTING AND PROMOTING EFFECTIVE LAW ENFORCEMENT IN NEW YORK STATE.
8,8,2017,201823199349302072,NEW JERSEY STATE FRATERNAL ORDER OF,30439413,FOP GRAND LODGE,701 MARRIOT DRIVE,31214.0,TN,,,8500.0,HURRICANE RELIEF
9,9,2014,201543119349300714,PLYMOUTH POLICE RELIEF ASSOC INC,42743257,Massachusetts Police Association,73 Lancaster St,1118.0,MA,,42635521.0,20500.0,
10,10,2015,201701359349311610,The Boston Police Foundation Inc,43209395,Boston Police Relief Association,1249 Hyde Park Ave,2136.0,MA,,41106807.0,50000.0,Charitable Donation
11,11,2015,201701359349311610,The Boston Police Foundation Inc,43209395,Roca's Young Mothers Program,11 Arlington Street,2116.0,MA,,223223641.0,35000.0,Charitable Donation
12,12,2015,201701359349311610,The Boston Police Foundation Inc,43209395,The Center for Teen Empowerment,384 Warren Street,2119.0,MA,,43091002.0,30000.0,Charitable Donation
13,13,2015,201701359349311610,The Boston Police Foundation Inc,43209395,Boston Police Detectives Benevolent Society,434 Hyde Park Ave,2131.0,MA,,223010035.0,18000.0,Charitable Donation
14,14,2016,201801359349310250,The Boston Police Foundation Inc,43209395,boston police relief association,1249 hyde park ave,2136.0,MA,,41106807.0,30000.0,charitable donation
15,15,2017,201901349349308965,The Boston Police Foundation Inc,43209395,boston police relief association,1249 hyde park ave,2136.0,MA,,41106807.0,30000.0,Charitable donation
16,16,2017,201901349349308965,The Boston Police Foundation Inc,43209395,Thermo Scientific,2 Radcliff Road,1876.0,MA,,10650031.0,25553.0,Application for police officer safety
17,17,2017,201901349349308965,The Boston Police Foundation Inc,43209395,Safeware,PO Box 64465,21264.0,MD,,521152883.0,17069.0,Support for safety equipment
18,18,2014,201533229349300903,NEWTON POLICE MEMORIAL ASSOCIATION,46339353,NO SINGLE RECIPIENT OF 5000 OR MORE,,,,,,,DONATIONS TO 501(C)(3) ORGANIZATIONS AS APPROVED BY THE MEMBERS
19,19,2015,201632889349300108,NEWTON POLICE MEMORIAL ASSOCIATION,46339353,NO SINGLE RECIPIENT OF 5000 OR MORE,,,,,,0.0,DONATIONS TO 501(C)(3) ORGANIZATIONS AS APPROVED BY THE MEMBERS
20,20,2016,201712519349300836,NEWTON POLICE MEMORIAL ASSOCIATION,46339353,NO SINGLE RECIPIENT OF 5000 OR MORE,,,,,,0.0,DONATIONS TO 501(C)(3) ORGANIZATIONS AS APPROVED BY THE MEMBERS
21,21,2013,201403429349300420,NEW ENGLAND ASSOCIATION OF,50357803,SPECIAL OLYMPICS,512 FOREST STREET,1752.0,MA,3,237242294.0,9000.0,COMMUNITY ASSISTANCE
22,22,2013,201403429349300420,NEW ENGLAND ASSOCIATION OF,50357803,JIMMY FUND - DANA FARBER CANCER INS,10 BROOKLINE PLACE WEST - 6TH FLOOR,24457295.0,MA,3,42263040.0,9000.0,COMMUNITY ASSISTANCE
23,23,2014,201503439349300425,NEW ENGLAND ASSOCIATION OF,50357803,SPECIAL OLYMPICS,512 FOREST STREET,1752.0,MA,3,237242294.0,9000.0,COMMUNITY ASSISTANCE
24,24,2014,201503439349300425,NEW ENGLAND ASSOCIATION OF,50357803,JIMMY FUND - DANA FARBER CANCER INS,10 BROOKLINE PLACE WEST - 6TH FLOOR,24457295.0,MA,3,42263040.0,9000.0,COMMUNITY ASSISTANCE
25,25,2015,201623179349300902,NEW ENGLAND ASSOCIATION OF,50357803,SPECIAL OLYMPICS,512 FOREST STREET,1752.0,MA,3,237242294.0,9000.0,COMMUNITY ASSISTANCE
26,26,2015,201623179349300902,NEW ENGLAND ASSOCIATION OF,50357803,JIMMY FUND - DANA FARBER CANCER INS,10 BROOKLINE PLACE WEST - 6TH FLOOR,24457295.0,MA,3,42263040.0,9000.0,COMMUNITY ASSISTANCE
27,27,2016,201713459349300501,NEW ENGLAND ASSOCIATION OF,50357803,SPECIAL OLYMPICS,512 FOREST STREET,1752.0,MA,3,237242294.0,9000.0,COMMUNITY ASSISTANCE
28,28,2016,201713459349300501,NEW ENGLAND ASSOCIATION OF,50357803,JIMMY FUND - DANA FARBER CANCER INS,10 BROOKLINE PLACE WEST - 6TH FLOOR,24457295.0,MA,3,42263040.0,9000.0,COMMUNITY ASSISTANCE
29,29,2017,201823459349300757,NEW ENGLAND ASSOCIATION OF,50357803,SPECIAL OLYMPICS,512 FOREST STREET,1752.0,MA,3,237242294.0,9000.0,COMMUNITY ASSISTANCE
30,30,2017,201823459349300757,NEW ENGLAND ASSOCIATION OF,50357803,JIMMY FUND - DANA FARBER CANCER INS,10 BROOKLINE PLACE WEST - 6TH FLOOR,24457295.0,MA,3,42263040.0,9000.0,COMMUNITY ASSISTANCE
31,31,2017,201812989349301146,RHODE ISLAND STATE POLICE MUSEUM,50498598,RI STATE POLICE,,,,,,8031.0,
32,32,2014,201533209349301038,CONNECTICUT POLICE CHIEFS,60949795,NEWTOWN POLICE DEPT,3 MAIN ST,6470.0,CT,GOV,,,
33,33,2018,201913059349300721,CONNECTICUT POLICE CHIEFS,60949795,CONNECTICUT POLICE FOUNDATION,,,,,,10469.0,
34,34,2018,201921339349302912,NEW YORK STATE POLICE INVESTIGATORS,61412386,NEW YORK STATE POLICE INVESTIGATORS ASSOCIATION PAC FUND,11 NORTH PEARL STREET NO 1202,12207.0,NY,527,141835999.0,90806.0,POLITICAL
35,35,2018,201921339349302912,NEW YORK STATE POLICE INVESTIGATORS,61412386,NYS POLICE INVESTIGATORS ASSOCIATION EMERGENCY ASSISTANCE FUND INC,1202 TROY SCHENECTADY ROAD BLDG 3,12110.0,NY,501(C)-3,453200529.0,13674.0,CHARITABLE
36,36,2018,201921849349300637,PORT WASHINGTON PBA,112889946,PORT WASHINGTON POLICE FOUNDATION INC,PO BOX 14,11050.0,NY,501(C)(3),824195326.0,20485.0,CHARITABLE DONATION
37,37,2017,201940259349300244,METROPOLITAN TRANSPORTATION,113448754,MTA PBA PAC FUND,76 SOUTH CENTRAL AVE SUITE 1D,11580.0,NY,527,900757593.0,42225.0,POLITICAL CONTRIBUTION
38,38,2013,201432249349300408,ATLANTA POLICE FOUNDATION INC,113655936,ATLANTA POLICE DEPARTMENT,ATLANTA,30303.0,GA,,,1836270.0,SUPPORT RANK AND FILE APD OFFICERS
39,39,2014,201511899349300311,ATLANTA POLICE FOUNDATION INC,113655936,ATLANTA POLICE DEPARTMENT,ATLANTA,30303.0,GA,,,1791759.0,SUPPORT RANK AND FILE APD OFFICERS
