,tax_year,object_id,doner_name,doner_ein,recepient_name,recepient_address,recepient_zip,recepient_street_abreviation_code,irc_section_description,recepient_ein,recepient_cash_grant_amount,purpose_of_grant_txt
0,2013,201403189349306280,Sheriffs Memorial & Benevolent Society,010722641,Travis Co Sheirffs Citizen,PO Box 103777,78766,TX,,311592406,9291,
1,2016,201733189349312803,Sheriffs Memorial & Benevolent Society,010722641,Partnership for Children,14000 Summit Dr,78728,TX,,432004770,28000,Contribution
2,2016,201733189349312803,Sheriffs Memorial & Benevolent Society,010722641,Star of Texas Rodeo,9100 Decker Lake Road,78724,TX,,742266672,20000,Scholarships
3,2016,201741999349300734,Salem Police Benevolent Association Inc,020456648,American Cancer Society,,,,,,7800,Assist organization in charitable goals
4,2016,201741999349300734,Salem Police Benevolent Association Inc,020456648,,,,,,,,Assist organizations in charitable goals
5,2013,201402499349300500,MOUNT VERNON POLICE FOUNDATION INC,020741539,MOUNT VERNON POLICE DEPARTMENT,2 ROOSEVELT SQUARE NORTH,10550,NY,,020741539,0,TO SUPPPORT MV POLICE DEPARTMENT IN EFFORTS TO ENHANCE COMMUNITY RELATIONS
6,2014,201512179349301111,MOUNT VERNON POLICE FOUNDATION INC,020741539,MOUNT VERNON POLICE DEPARTMENT,2 ROOSEVELT SQUARE NORTH,10550,NY,,020741539,0,TO SUPPPORT MV POLICE DEPARTMENT IN EFFORTS TO ENHANCE COMMUNITY RELATIONS
7,2017,201813179349305191,NEW YORK POLICE CHIEFS' FOUNDATION INC,030439386,NEW YORK STATE CRIME STOPPERS INC,2649 STRANG BLVD STE 303,10598,NY,501(C)(3),611420590,148000,TO OFFER FINANCIAL ASSISTANCE TO THIS SUPPORTED ORGANIZATION TO FURTHER ITS EXEMPT PURPOSE OF ASSISTING AND PROMOTING EFFECTIVE LAW ENFORCEMENT IN NEW YORK STATE.
8,2017,201823199349302072,NEW JERSEY STATE FRATERNAL ORDER OF,030439413,FOP GRAND LODGE,701 MARRIOT DRIVE,31214,TN,,,8500,HURRICANE RELIEF
9,2014,201543119349300714,PLYMOUTH POLICE RELIEF ASSOC INC,042743257,Massachusetts Police Association,73 Lancaster St,01118,MA,,042635521,20500,
10,2015,201701359349311610,The Boston Police Foundation Inc,043209395,Boston Police Relief Association,1249 Hyde Park Ave,02136,MA,,041106807,50000,Charitable Donation
11,2015,201701359349311610,The Boston Police Foundation Inc,043209395,Roca's Young Mothers Program,11 Arlington Street,02116,MA,,223223641,35000,Charitable Donation
12,2015,201701359349311610,The Boston Police Foundation Inc,043209395,The Center for Teen Empowerment,384 Warren Street,02119,MA,,043091002,30000,Charitable Donation
