,tax_year,object_id,doner_name,doner_ein,recepient_name,recepient_address,recepient_zip,recepient_street_abreviation_code,irc_section_description,recepient_ein,recepient_cash_grant_amount,purpose_of_grant_txt
0,2015,201633129349302088,ARLINGTON POLICE BENEFICIARY ASSOCIATION,237129801,ARLINGTON COMMUNITY FOUNDATION,818 N QUINCY STREET SUITE 103,22203,VA,501(C)3,541602838,10000,CIVIC FEDERATION 911 SCHOLARSHIP FUND
1,2015,201633129349302088,ARLINGTON POLICE BENEFICIARY ASSOCIATION,237129801,ARLINGTON COUNTY POLICE DEPARTMENT FRIENDS AND FAMILY FUND,1425 N COURTHOUSE ROAD,22201,VA,501(C)3,472821373,17495,GENERAL
2,2016,201701579349301100,ARLINGTON POLICE BENEFICIARY ASSOCIATION,237129801,,,,,,,,ENERAL
3,2016,201733139349302758,FRATERNAL ORDER OF POLICE 89,237143594,FRATERNAL ORDER OF POLICE YOUTH PRO,PO BOX 204,47202,IN,501C3,812184748,76867,ESTABLISH WORKING CA
4,2015,201601659349300900,Fraternal Order of Police Kansas City Kansas Lodge #4,237144073,ALL DONATIONS UNDER 5000,,,,,,14951,
5,2013,201423119349300817,FRATERNAL ORDER OF POLICE LODGE,237163538,DREAM FACTORY,POBOX 381766,38183,TN,,611220742,8153,
6,2013,201423119349300817,FRATERNAL ORDER OF POLICE LODGE,237163538,CAPS FOR KIDS,P O BOX 58,38029,TN,,721309078,5473,
7,2014,201521359349308492,FRATERNAL ORDER OF POLICE LODGE,237163538,DREAM FACTORY,POBOX 381766,38183,TN,,611220742,8329,
8,2015,201643209349316639,FRATERNAL ORDER OF POLICE LODGE,237163538,DREAM FACTORY,POBOX 381766,38183,TN,,611220742,5600,
9,2016,201703199349315455,FRATERNAL ORDER OF POLICE LODGE,237163538,DREAM FACTORY,POBOX 381766,38183,TN,,611220742,7000,
10,2017,201833199349310763,FRATERNAL ORDER OF POLICE LODGE,237163538,DREAM FACTORY,POBOX 381766,38183,TN,,611220742,7258,
11,2013,201510359349300611,WASHOE COUNTY SHERIFFS DEPUTIES,237175349,WCSDA CHARITABLE FUND,911 E PARR BLVD,89512,NV,,472303566,10000,
12,2016,201712519349300746,Fraternal Order of Police,237190586,The Andrew Jackson Police You,440 Welshwood Drive,37211,TN,,621443335,105312,Capital Improvements
13,2015,201622809349300302,Fraternal Order of Police,237190596,Montgomery County Law Enforcement Officers Relief,18512 Office Park Drive,20886,MD,501 c(3),861079324,16550,Crisis Assistance
14,2018,201932539349300908,Fraternal Order of Police,237190596,MCLEORF,18512 Office Park Drive,20886,MD,501C3,861079324,13388,Officers relief fund
15,2013,201412279349301536,FULLERTON POLICE BENEFIT ASSN,237193238,SCH I INTENTIONALLY BLANK,NONE OVER 5000,92832,CA,501,237193238,,
16,2017,201802549349300110,FRATERNAL ORDER OF POLICE JERRARD F,237204395,NATIONAL FRATERNAL ORDER OF POLICE,701 MARRIOTT DRIVE,37214,TN,501(C)(8),231283161,6000,NATIONAL FRATERNAL ORDER OF POLICE PRESIDENT CAMPAIGN AND TEXAS DISASTER RELIEF
17,2013,201402589349300845,FRATERNAL ORDER OF POLICE ILLINI LODGE 17,237229008,EASTER SEALS CAMP AT TIMEBER POINTE OUTDOOR CENTER,20 TIMBER POINTE LANE,61748,IL,3,370795424,35786,TO SUPPORT UNDERPRIVELEGED AND DISABLED CHILDREN
18,2014,201512589349300621,FRATERNAL ORDER OF POLICE ILLINI LODGE 17,237229008,EASTER SEALS CAMP AT TIMEBER POINTE OUTDOOR CENTER,20 TIMBER POINTE LANE,61748,IL,3,370795424,38464,TO SUPPORT UNDERPRIVELEGED AND DISABLED CHILDREN
19,2015,201642599349300414,FRATERNAL ORDER OF POLICE,237229008,EASTER SEALS CAMP AT TIMEBER POINTE OUTDOOR CENTER,20 TIMBER POINTE LANE,61748,IL,3,370795424,34773,TO SUPPORT UNDERPRIVELEGED AND DISABLED CHILDREN
20,2016,201702549349300785,FRATERNAL ORDER OF POLICE,237229008,EASTER SEALS CAMP AT TIMEBER POINTE OUTDOOR CENTER,20 TIMBER POINTE LANE,61748,IL,501(C)(3),370795424,38424,TO SUPPORT UNDERPRIVELEGED AND DISABLED CHILDREN
21,2017,201822679349300307,FRATERNAL ORDER OF POLICE,237229008,EASTER SEALS CAMP AT TIMEBER POINTE OUTDOOR CENTER,20 TIMBER POINTE LANE,61748,IL,501(C)(3),370795424,33766,TO SUPPORT UNDERPRIVELEGED AND DISABLED CHILDREN
22,2018,201933099349301138,FRATERNAL ORDER OF POLICE,237229008,EASTER SEALS CAMP AT TIMEBER POINTE OUTDOOR CENTER,20 TIMBER POINTE LANE,61748,IL,501(C)(3),370795424,30149,TO SUPPORT UNDERPRIVELEGED AND DISABLED CHILDREN
23,2014,201521039349301012,Fraternal Order of Police #16 Owensboro Lodge,237238401,Stifel Nicolaus & Co Inc,501 N Broadway,63102,MO,,430538770,13083,Death Benefit
24,2015,201633079349301273,VALLEJO POLICE OFFICERS ASSOCIATION,237253351,VALLEJO POLICE ACTIVITIES LGE,301 WALLACE AVE,94590,CA,501(C)(3),942192817,7000,COMMUNITY SERVICE
25,2014,201523209349314802,Bellevue Police Officers Guild,237256859,Make a Wish Foundation,811 1st Ave 520,98104,WA,501c3,911329433,5000,
26,2015,201623269349300762,Bellevue Police Officers Guild,237256859,Make a Wish Foundation,4742 N 24th,85016,AZ,501c3,860481941,5000,
27,2016,201703209349301805,Bellevue Police Officers Guild,237256859,Make a Wish Foundation,4742 N 24th,85016,AZ,501c3,860481941,5000,
28,2017,201910579349301256,Bellevue Police Officers Guild,237256859,Make a Wish Foundation,4742 N 24th,85016,AZ,501c3,850481941,5000,
29,2013,201423179349306232,POLICE RELIEF FUND INC,237331002,POPPA,32 BROADWAY RM 1401,10003,NY,501(C)(3),134128172,425591,TO FUND TREATMENT FOR POLICE OFFICERS WITH PROBLEMS
30,2014,201513179349303761,POLICE RELIEF FUND INC,237331002,CALVARY HOSPITAL,1740 EASTCHESTER ROAD,10461,NY,501(C)3,131740274,10000,help organization that helps members of fund
31,2014,201513179349303761,POLICE RELIEF FUND INC,237331002,DEBORAH HOSPITAL,218-14 NORTHERN BLVD,11361,NY,501(C)3,231550955,10000,help organization that helps members of fund
32,2014,201513179349303761,POLICE RELIEF FUND INC,237331002,POPPA,32 BROADWAY RM 1401,10003,NY,501(C)3,134128172,423885,TO FUND TREATMENT FOR POLICE OFFICERS WITH PROBLEMS
33,2014,201513179349303761,POLICE RELIEF FUND INC,237331002,ST PATRICKS HOME,66 VAN CORTLANDT PARK SOUTH,10463,NY,501(C)3,131740033,10000,help organization that helps members of fund
34,2015,201623189349300017,POLICE RELIEF FUND INC,237331002,POPPA,32 BROADWAY RM 1401,10003,NY,501(C)3,134128172,236064,TO FUND TREATMENT FOR POLICE OFFICERS WITH PROBLEMS
35,2016,201723189349313027,POLICE RELIEF FUND INC,237331002,POPPA,32 BROADWAY RM 1401,10003,NY,501(C)3,134128172,380387,TO FUND TREATMENT FOR POLICE OFFICERS WITH PROBLEMS
36,2017,201803199349303120,POLICE RELIEF FUND INC,237331002,POPPA Inc,32 BROADWAY RM 1401,10004,NY,501(c)3,134128172,393795,TO FUND TREATMENT FOR POLICE OFFICERS WITH PROBLEMS
37,2013,201431909349300908,ROCKLAND COUNTY PBA INC,237364402,LOWER HUDSON VALLEY EAP,3505 HILL BLVD - SUITE A,10598,NY,(C)(3),133240307,10000,EMPLOYEE ASSISTANCE
38,2014,201503179349305035,ROCKLAND COUNTY PBA INC,237364402,LOWER HUDSON VALLEY EAP,3505 HILL BLVD - SUITE A,10598,NY,(C)(3),133240307,10000,EMPLOYEE ASSISTANCE
39,2015,201740099349300319,OKLAHOMA STATE TROOPERS ASSOCIATION,237395722,OKLAHOMA STATE TROOPERS ASSOCIATION FOUNDATION,PO BOX 1059,74955,OK,501C3,201728670,30421,TO PROVIDE INDIRECT FUNDING FOR THE CADET LAWMAN ACADEMY SCHOLARSHIPS
40,2016,201800709349300405,OKLAHOMA STATE TROOPERS ASSOCIATION,237395722,OKLAHOMA STATE TROOPERS ASSOCIATION FOUNDATION,PO BOX 1059,74955,OK,501C3,201728670,25000,TO PROVIDE INDIRECT FUNDING FOR THE CADET LAWMAN ACADEMY SCHOLARSHIPS
41,2017,201900729349301220,OKLAHOMA STATE TROOPERS ASSOCIATION,237395722,OKLAHOMA STATE TROOPERS ASSOCIATION FOUNDATION,PO BOX 1059,74955,OK,501C3,201728670,25000,TO PROVIDE INDIRECT FUNDING FOR THE CADET LAWMAN ACADEMY SCHOLARSHIPS
42,2017,201823179349307407,INDIANA STATE POLICE ALLIANCE INC,237419547,COPS FOR KIDS,1415 SHELBY STREET,46203,IN,3,351827166,21700,ASSISTANCE WITH KIDS
43,2017,201823179349307407,INDIANA STATE POLICE ALLIANCE INC,237419547,NATIONAL TROOPERS COALITION,500 MAIN STREET,06118,CT,4,222324223,16759,MEMBERSHIP
44,2017,201823179349307407,INDIANA STATE POLICE ALLIANCE INC,237419547,VARIOUS ORGANIZATIONS 5000,,,,3,,6849,VARIOUS
45,2018,201932469349300153,INDIANA STATE POLICE ALLIANCE INC,237419547,COPS FOR KIDS,1415 SHELBY STREET,46203,IN,3,351827166,11200,ASSISTANCE WITH KIDS
46,2018,201932469349300153,INDIANA STATE POLICE ALLIANCE INC,237419547,NATIONAL TROOPERS COALITION,500 MAIN STREET,06118,CT,4,222324223,5961,MEMBERSHIP
47,2018,201932469349300153,INDIANA STATE POLICE ALLIANCE INC,237419547,VARIOUS ORGANIZATIONS 5000,,,,3,,9108,VARIOUS
48,2015,201601549349300505,IOWA STATE TROOPERS ASSOCIATION,237427085,,,,,,,5940,
49,2014,201543159349303824,POLICE ATHLETIC LEAGUE OF NORRISTOW,237434398,FAMILY SERVICES,3125 RIDGE ROAD,19403,PA,,231352361,39630,
50,2015,201643099349301274,POLICE ATHLETIC LEAGUE OF NORRISTOW,237434398,RTM LLC DBA THE ACADEMY,7 WILLIAMS ROAD,19355,PA,,,12900,
51,2015,201603199349310715,CAPITOL CITY LODGE #11,237585410,ALABAMA DANCE THEATRE,PO BOX 11327,36111,AL,501(C)(3),630949625,8076,DONATION
52,2013,201402389349300605,FRATERNAL ORDER OF POLICE 38 COLLIER COUNTY LODGE,237585469,COLLIER COUNTY CHILD ADVOCACY COUNCIL INC,1036 SIXTH AVENUE NORTH,34102,FL,501(C)(3),650049492,5650,THE LODGE MAKES GRANTS TO LOCAL AND NATIONAL ORGANIZATIONS TO ASSIST IN THEIR FINANCIAL SUPPORT.
53,2016,201810609349300046,FRATERNAL ORDER OF POLICE -,237585588,LOUISIANA FRATERNAL ORDER OF POLICE FOUNDATION,82350 PAT FITZMORRIS ROAD,704312923,LA,501(C)3,203484575,5000,ASSISTANCE WITH EXPENSES.
54,2013,201540749349300604,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,Special Olympics,1644 N Honore Suite 200,60622,IL,501c3,520889518,11215,General Support
55,2014,201641169349301359,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,Special Olympics,1644 N Honore Suite 200,60622,IL,501c3,520889518,11030,General Support
56,2014,201641169349301359,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,Easter Seals,333 S Wacker Drive,60606,IL,501c3,261207337,15000,General Support
57,2015,201720639349300707,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,Special Olympics,1644 N Honore Suite 200,60622,IL,501c3,520889518,15000,General Support
58,2015,201720639349300707,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,Easter Seals,333 S Wacker Drive,60606,IL,501c3,261207337,12500,General Support
59,2016,201820799349301072,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,Special Olympics,1644 N Honore Suite 200,60622,IL,501c3,520889518,12155,General Support
60,2017,201921789349301037,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,EASTER SEALS,1939 W 13TH STREET,60608,IL,501C3,362171729,10000,PROGRAM SERVICE
61,2017,201921789349301037,FRATERNAL ORDER OF POLICE #4 OF ILLINOIS,237585894,SPECIAL OLYMPICS,1133 19TH STREET NW,20036,DC,501C3,520889518,7930,PROGRAM SERVICE
62,2016,201712309349300411,FRATERNAL ORDER OF POLICE #73,237585986,FIGHT FOR LIFE,801 COURT STREET,47708,IN,,237585986,11261,THIS PROGRAM ASSISTS POLICE FAMILIES IN TIMES OF NEED TO HELP MAINTAIN THEIR DAILY LIVES.
63,2013,201403219349301585,FRATERNAL ORDER OF POLICE 112,237586037,FOP A 112,33845 24 MILE RD,48047,MI,501 C 3,371550023,24000,INDIVIDUALS
64,2014,201521679349300927,FRATERNAL ORDER OF POLICE 112,237586037,FOP A 112,33845 24 MILE RD,48047,MI,501 C 3,371550023,31475,INDIVIDUALS
65,2015,201613199349301926,FRATERNAL ORDER OF POLICE 112,237586037,FOP A 112,33845 24 MILE RD,48047,MI,501 C 3,371550023,32200,INDIVIDUALS
66,2016,201733139349302608,FRATERNAL ORDER OF POLICE 112,237586037,FOP A 112,33845 24 MILE RD,48047,MI,501 C 3,371550023,37000,INDIVIDUALS
67,2017,201803139349301070,FRATERNAL ORDER OF POLICE 112,237586037,FOP A 112,33845 24 MILE RD,48047,MI,501 C 3,371550023,21000,INDIVIDUALS
68,2013,201421359349302322,ST LOUIS POLICE FOUNDATION,260326513,ST LOUIS POLICE DEPARTMENT,1915 OLIVE STREET,63103,MO,,436003231,1811251,"SEE PART IV, SUPPLEMENTAL INFORMATION FOR DETAIL"
69,2014,201543169349301389,ST LOUIS POLICE FOUNDATION,260326513,ST LOUIS POLICE DEPARTMENT,1915 OLIVE STREET,63103,MO,,436003231,41590,"SEE PART IV, SUPPLEMENTAL INFORMATION FOR DETAIL"
70,2016,201731349349300808,St Louis Police Foundation,260326513,St Louis Metropolitan Police Department,1915 Olive Street,63103,MO,,436003231,45126,See Part IV
71,2016,201731349349300808,St Louis Police Foundation,260326513,St Louis County Police Department,7900 Forsyth Blvd,63105,MO,,436003242,14036,See Part IV
72,2017,201801239349301165,St Louis Police Foundation,260326513,St Louis Metropolitan Police Department,1915 Olive Street,63103,MO,,436003231,274388,See Part IV
73,2017,201801239349301165,St Louis Police Foundation,260326513,St Louis County Police Department,7900 Forsyth Blvd,63105,MO,,436003242,81674,See Part IV
74,2018,201941629349300729,St Louis Police Foundation,260326513,St Louis Metropolitan Police Department,1915 Olive Street,63103,MO,,436003231,3268,See Part IV
75,2018,201941629349300729,St Louis Police Foundation,260326513,St Louis County Police Department,7900 Forsyth Blvd,63105,MO,,436003242,52587,See Part IV
76,2017,201930339349300708,LOS ANGELES MOUNTED POLICE FOUNDATION,260369106,LA POLICE DEPT MOUNTED UNIT,3934 RIGALI AVENUE,90039,CA,,,33249,AS DESCRIBED IN SCHEDULE O
77,2016,201743179349308094,SANTA MARIA POLICE COUNCIL INC,260885761,City of Santa Maria,110 E Clark,93454,CA,,956000788,50000,purchase equipment for Police Dept
78,2013,201421219349301322,TETON COUNTY SHERIFFS AUXILLARY,261254216,TETON COUNTY SHERIFF'S DEPARTMENT,180 S KING STREET,83001,WY,,836000127,,NECESSARY EQUIPMENT REQUIRED BY THE TETON COUNTY SHERIFF'S DEPARTMENT
79,2013,201421219349301322,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON WYOMING POLICE DEPARTMENT,150 E PEARL AVENUE,83001,WY,,836000069,,NECESSARY EQUIPMENT REQUIRED BY THE JACKSON POLICE DEPARTMENT
80,2014,201531359349301738,TETON COUNTY SHERIFFS AUXILLARY,261254216,TETON COUNTY SHERIFF'S DEPARTMENT,180 S KING STREET,83001,WY,,836000127,,NECESSARY EQUIPMENT REQUIRED BY THE TETON COUNTY SHERIFF'S DEPARTMENT
81,2014,201531359349301738,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON WYOMING POLICE DEPARTMENT,150 E PEARL AVENUE,83001,WY,,836000069,,NECESSARY EQUIPMENT REQUIRED BY THE JACKSON POLICE DEPARTMENT
82,2015,201632109349300948,TETON COUNTY SHERIFFS AUXILLARY,261254216,TETON COUNTY SHERIFF'S DEPARTMENT,180 S KING STREET,83001,WY,,836000127,,NECESSARY EQUIPMENT REQUIRED BY THE TETON COUNTY SHERIFF'S DEPARTMENT
83,2015,201632109349300948,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON WYOMING POLICE DEPARTMENT,150 E PEARL AVENUE,83001,WY,,836000069,,NECESSARY EQUIPMENT REQUIRED BY THE JACKSON POLICE DEPARTMENT
84,2016,201700969349301120,TETON COUNTY SHERIFFS AUXILLARY,261254216,TETON COUNTY SHERIFF'S DEPARTMENT,180 S KING STREET,83001,WY,,836000127,,NECESSARY EQUIPMENT REQUIRED BY THE TETON COUNTY SHERIFF'S DEPARTMENT
85,2016,201700969349301120,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON WYOMING POLICE DEPARTMENT,150 E PEARL AVENUE,83001,WY,,836000069,,NECESSARY EQUIPMENT REQUIRED BY THE JACKSON POLICE DEPARTMENT
86,2017,201830949349300628,TETON COUNTY SHERIFFS AUXILLARY,261254216,TETON COUNTY SHERIFF'S DEPARTMENT,180 S KING STREET,83001,WY,,836000127,,NECESSARY EQUIPMENT & K-9 TRAINING REQUIRED BY THE TETON COUNTY SHERIFF'S DEPARTMENT
87,2017,201830949349300628,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON WYOMING POLICE DEPARTMENT,150 E PEARL AVENUE,83001,WY,,836000069,,NECESSARY EQUIPMENT REQUIRED BY THE JACKSON POLICE DEPARTMENT
88,2017,201830949349300628,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON HOLE COMMUNITY HOUSING TRUST,110 E BROADWAY,83001,WY,,830297131,10000,ASSISTANCE TO PROVIDE NECESSARY AFFORDABLE HOUSING FOR LOCAL LAW ENFORCEMENT PERSONNEL
89,2018,201911159349301241,TETON COUNTY SHERIFFS AUXILLARY,261254216,TETON COUNTY SHERIFF'S DEPARTMENT,180 S KING STREET,83001,WY,,836000127,,NECESSARY EQUIPMENT & K-9 TRAINING REQUIRED BY THE TETON COUNTY SHERIFF'S DEPARTMENT
90,2018,201911159349301241,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON WYOMING POLICE DEPARTMENT,150 E PEARL AVENUE,83001,WY,,836000069,,NECESSARY EQUIPMENT & K-9 TRAINING REQUIRED BY THE JACKSON POLICE DEPARTMENT
91,2018,201911159349301241,TETON COUNTY SHERIFFS AUXILLARY,261254216,JACKSON HOLE COMMUNITY HOUSING TRUST,110 E BROADWAY,83001,WY,,830297131,330000,ASSISTANCE TO PROVIDE NECESSARY AFFORDABLE HOUSING FOR LOCAL LAW ENFORCEMENT PERSONNEL
92,2013,201441969349301504,Evansville Police Dept Foundation I,262290745,Evansville Police Department,15 N W M L King Jr Blvd,47708,IN,,,,
93,2016,201721239349301632,EVANSVILLE POLICE DEPARTMENT FOUNDATION,262290745,EVANSVILLE POLICE DEPARTMENT,1 NW MARTIN LUTHER KING BLVD,47708,IN,,356001021,94759,"GRANTS TO THE EVANSVILLE POLICE DEPARTMENT FOR SPECIALIZED EQUIPMENT, EDUCATION, COLLABORATIVE COMMUNITY PROGRAMS, AND FOR THE SUPPORT OF ITS PERSONNEL."
94,2018,201902809349300875,EVANSVILLE POLICE DEPARTMENT FOUNDATION,262290745,EVANSVILLE POLICE DEPARTMENT,1 NW MARTIN LUTHER KING BLVD,47708,IN,,356001021,,"GRANTS TO THE EVANSVILLE POLICE DEPARTMENT FOR SPECIALIZED EQUIPMENT, EDUCATION, COLLABORATIVE COMMUNITY PROGRAMS, AND FOR THE SUPPORT OF ITS PERSONNEL."
95,2017,201823189349301602,EVANSVILLE POLICE DEPARTMENT FOUNDATION,262290745,EVANSVILLE POLICE DEPARTMENT,1 NW MARTIN LUTHER KING BLVD,47708,IN,,356001021,,"GRANTS TO THE EVANSVILLE POLICE DEPARTMENT FOR SPECIALIZED EQUIPMENT, EDUCATION, COLLABORATIVE COMMUNITY PROGRAMS, AND FOR THE SUPPORT OF ITS PERSONNEL."
96,2013,201403189349308555,WHITEMARSH POLICE OFFICERS,262928066,VARIOUS CHARITABLE ORGANIZATIONS,,,,501(C),123456789,17385,CHARITABLE PURPOSE
97,2014,201513209349309506,WHITEMARSH POLICE OFFICERS,262928066,VARIOUS CHARITABLE ORGANIZATIONS,,,,501(C),,30915,CHARITABLE PURPOSE
98,2015,201643209349302194,WHITEMARSH POLICE OFFICERS BENEVOLENT ASSOCIATION,262928066,VARIOUS CHARITABLE ORGANIZATIONS,,,,501C,,17252,CHARITABLE PURPOSE
99,2016,201703119349302715,Whitemarsh Police Officers Benevolent Association Inc,262928066,Various charitable organizations,,,,501c,,9825,Charitable purpose
100,2017,201833139349300848,Whitemarsh Police Officers Benevolent Association Inc,262928066,Various charitable organizations,,,,501c,,15425,Charitable purpose
101,2013,201412349349300016,LAW ENFORCEMENT OFFICERS RELIEF FUND INC,263338776,NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL FUND,901 E STREET NW 100,20004,DC,501(C)(3),521382926,5000,CASH DONATION IN SUPPORT OF LAW ENFORCEMENT OFFICERS.
